date,city,pm25_mean,pm10_mean,aqi_max
2024-01-01,Toronto,9.070833333333333,13.174999999999999,40
2024-01-02,Toronto,5.654166666666666,8.2875,38
2024-01-03,Toronto,6.2749999999999995,9.225,26
2024-01-04,Toronto,5.016666666666667,7.516666666666667,27
2024-01-05,Toronto,3.841666666666667,6.1375,26
2024-01-06,Toronto,5.3999999999999995,8.220833333333333,27
2024-01-07,Toronto,9.345833333333333,13.791666666666666,40
2024-01-08,Toronto,5.491666666666667,8.145833333333334,39
2024-01-09,Toronto,3.1291666666666664,5.125,35
2024-01-10,Toronto,7.345833333333334,10.891666666666666,30
2024-01-11,Toronto,3.0666666666666664,4.483333333333333,34
2024-01-12,Toronto,2.3583333333333334,3.3708333333333336,35
2024-01-13,Toronto,4.270833333333333,6.091666666666666,32
2024-01-14,Toronto,6.408333333333334,9.270833333333334,27
2024-01-15,Toronto,9.987499999999999,14.362499999999999,41
2024-01-16,Toronto,10.729166666666666,15.487499999999999,46
2024-01-17,Toronto,6.045833333333333,8.799999999999999,45
2024-01-18,Toronto,3.4333333333333336,4.9125000000000005,29
2024-01-19,Toronto,4.2625,6.145833333333333,30
2024-01-20,Toronto,13.450000000000001,19.995833333333334,52
2024-01-21,Toronto,8.633333333333335,12.737499999999999,57
2024-01-22,Toronto,8.4125,12.070833333333333,36
2024-01-23,Toronto,9.520833333333334,13.779166666666667,44
2024-01-24,Toronto,6.0249999999999995,8.858333333333333,40
2024-01-25,Toronto,6.995833333333334,10.475,29
2024-01-26,Toronto,6.533333333333334,9.458333333333334,29
2024-01-27,Toronto,6.75,9.6625,28
2024-01-28,Toronto,6.429166666666667,9.1625,28
2024-01-29,Toronto,7.991666666666667,11.487499999999999,32
2024-01-30,Toronto,9.641666666666667,14.375,45
2024-01-31,Toronto,5.366666666666667,7.7124999999999995,40
2024-02-01,Toronto,6.0375000000000005,8.775,26
2024-02-02,Toronto,7.133333333333333,10.5375,28
2024-02-03,Toronto,8.941666666666666,13.225,39
2024-02-04,Toronto,5.754166666666666,8.420833333333333,37
2024-02-05,Toronto,5.595833333333334,8.095833333333333,31
2024-02-06,Toronto,10.220833333333333,14.75,42
2024-02-07,Toronto,10.7875,15.516666666666666,47
2024-02-08,Toronto,11.929166666666667,17.304166666666667,51
2024-02-09,Toronto,12.308333333333332,17.95,50
2024-02-10,Toronto,16.275000000000002,24.275000000000002,60
2024-02-11,Toronto,8.466666666666667,12.275,59
2024-02-12,Toronto,6.05,8.674999999999999,35
2024-02-13,Toronto,6.779166666666666,9.808333333333334,31
2024-02-14,Toronto,3.170833333333333,4.704166666666667,36
2024-02-15,Toronto,4.779166666666667,7.058333333333334,35
2024-02-16,Toronto,6.745833333333334,9.975,35
2024-02-17,Toronto,10.5,15.3375,43
2024-02-18,Toronto,14.512500000000001,21.40833333333333,55
2024-02-19,Toronto,13.120833333333332,19.3,57
2024-02-20,Toronto,11.9125,17.625,52
2024-02-21,Toronto,8.75,12.875,50
2024-02-22,Toronto,10.075000000000001,14.745833333333332,41
2024-02-23,Toronto,9.883333333333333,14.783333333333333,44
2024-02-24,Toronto,4.133333333333334,6.004166666666666,41
2024-02-25,Toronto,2.4499999999999997,3.9875000000000003,38
2024-02-26,Toronto,6.116666666666667,9.829166666666667,41
2024-02-27,Toronto,7.433333333333334,11.670833333333334,36
2024-02-28,Toronto,2.9250000000000003,4.404166666666667,31
2024-02-29,Toronto,3.2375000000000003,5.05,36
2024-03-01,Toronto,3.6041666666666665,5.7124999999999995,36
2024-03-02,Toronto,5.529166666666666,8.7875,39
2024-03-03,Toronto,5.654166666666666,9.35,36
2024-03-04,Toronto,7.241666666666667,10.829166666666666,37
2024-03-05,Toronto,9.895833333333334,14.691666666666668,41
2024-03-06,Toronto,14.112499999999999,20.962500000000002,54
2024-03-07,Toronto,14.424999999999999,21.45,56
2024-03-08,Toronto,13.8375,21.287499999999998,56
2024-03-09,Toronto,8.241666666666667,12.837499999999999,54
2024-03-10,Toronto,4.0,6.3125,37
2024-03-11,Toronto,3.466666666666667,5.508333333333333,30
2024-03-12,Toronto,4.7124999999999995,7.2250000000000005,38
2024-03-13,Toronto,10.625,17.304166666666667,43
2024-03-14,Toronto,14.804166666666667,24.633333333333336,56
2024-03-15,Toronto,15.387500000000001,23.954166666666666,58
2024-03-16,Toronto,15.4375,23.650000000000002,58
2024-03-17,Toronto,16.099999999999998,23.52916666666667,59
2024-03-18,Toronto,9.170833333333333,13.233333333333334,59
2024-03-19,Toronto,12.387500000000001,17.904166666666665,50
2024-03-20,Toronto,15.079166666666666,22.870833333333334,59
2024-03-21,Toronto,18.462500000000002,28.3875,65
2024-03-22,Toronto,12.695833333333333,18.816666666666666,64
2024-03-23,Toronto,11.0375,16.0125,51
2024-03-24,Toronto,10.404166666666667,14.995833333333332,48
2024-03-25,Toronto,10.491666666666667,15.370833333333332,48
2024-03-26,Toronto,7.329166666666667,11.083333333333334,44
2024-03-27,Toronto,5.866666666666667,8.954166666666667,39
2024-03-28,Toronto,4.254166666666666,6.641666666666667,39
2024-03-29,Toronto,5.020833333333333,7.616666666666667,37
2024-03-30,Toronto,8.450000000000001,13.216666666666667,37
2024-03-31,Toronto,14.104166666666666,21.3875,54
2024-04-01,Toronto,17.2,25.433333333333334,61
2024-04-02,Toronto,9.2125,13.545833333333334,62
2024-04-03,Toronto,5.916666666666667,9.833333333333334,42
2024-04-04,Toronto,7.354166666666667,11.495833333333332,42
2024-04-05,Toronto,8.408333333333333,13.108333333333334,41
2024-04-06,Toronto,14.116666666666667,22.133333333333336,55
2024-04-07,Toronto,4.6125,6.733333333333333,55
2024-04-08,Toronto,5.541666666666667,8.654166666666667,30
2024-04-09,Toronto,5.320833333333334,8.433333333333334,43
